LABORATORY_CODE,LABORATORY_NAME,CHEM_METHOD,CHEM_METHOD_DESC,DIGESTION_CODE,DIGESTION_DESC,DETERMINATION_CODE,DETERMINATION_DESC,SAMPLE_WEIGHT_GM,DATE_START,DATE_END,DETERMINATION_CODE_RD,DIGESTION_CODE_RD,FUSION_TYPE,Unnamed: 13
AACJCU,"Advanced Analytical Centre, James Cook University.",ACXRF001,XRF (majors),,,,,,,,XRF,FU,,
AACJCU,"Advanced Analytical Centre, James Cook University.",ACXRF002,XRF Super Trace (minors),,,,,,,,XRF,FU,,
ACME,Acme Analytical Laboratories Ltd.,4BTD,"(Traces, Anglo American Expl., 2 methods depending on analytes) 0.2g sample, 1.5g LiBO2 flux fired 15 mins 1050 deg C in graphite crucible followed by HNO3 digest. ICP-MS determination. OR 0.5g sample, aqua regia digest, ICP-MS determination.",,,ICP-MS,Inductively Coupled Plasma Mass Spectrometry,,,,ICP-MS,AR,LB-F,
ACME,Acme Analytical Laboratories Ltd.,4BWR,"(Whole rock, Anglo American Expl., 2 methods depending on analytes) 0.2g sample, 1.5g LiBO2 flux fired 15 mins 1050 deg C in graphite crucible followed by HNO3 digest. ICP-MS determination. OR 0.5g sample, aqua regia digest, ICP-MS determination.",,,ICP-MS,Inductively Coupled Plasma Mass Spectrometry,,,,ICP-MS,AR,LB-F,
ACME,Acme Analytical Laboratories Ltd.,4AWR,"(Whole rock, Anglo American Expl.) 0.2g sample, 1.5g LiBO2 flux fired 15 mins 1050 deg C in graphite crucible followed by HNO3 digest. ICP-OES determination.",,,,,,,,ICP-OES,FU,LB-F,
ACME,Acme Analytical Laboratories Ltd.,4ALC,"(Total C and S, Anglo American Expl.) 0.1g sample in Leco crucible, ignition >1650 deg C induction furnace, determination on released gas by adsorption in infrared spectrophotometric cell (Leco method).",,,,,,,,LECO,COMB,,
ACME,Acme Analytical Laboratories Ltd.,4ALO,"(LOI, Anglo American Expl.) 1g sample fired 950 deg C for 90 mins, determination by weight loss.",,,,,,,,GRAV,,,
ACME,Acme Analytical Laboratories Ltd.,3BFG,"(Fire assay, Anglo American Expl.) 30g sample fired 1050 deg C with PbO/Ag, HNO3 leach followed by HCl. ICP-OES determination Au only, ICP-MS determination Au, Pt, Pd, (Rh).",,,ICP-MS,Inductively Coupled Plasma Mass Spectrometry,,,,ICP-OES,FA,,
ACME,Acme Analytical Laboratories Ltd.,3BMS,"(Precious metals fire assay, Anglo American Expl.) 30g sample fired 1050 deg C with PbO/Ag, resulting Pb bead re-fired 950 deg C in MnO cupel. Hot HNO3 leach followed by HCl. ICP-MS determination.",,,ICP-MS,Inductively Coupled Plasma Mass Spectrometry,,,,ICP-MS,FA,,
ACME,Acme Analytical Laboratories Ltd.,G1EX,"(Anglo American Expl.) 0.25g sample, hot HF+HClO4+HNO3 digest/desiccation followed by HCL digest. ICP-MS determination.",,,ICP-MS,Inductively Coupled Plasma Mass Spectrometry,,,,ICP-MS,4A,,
ACME,Acme Analytical Laboratories Ltd.,4A/4B,"10g sample, combination ICP-MS or ICP-OES determination.",,,ICP-MS/OES,Combination Inductively Coupled Plasma Mass Spectrometry or ICP Optical Emission Spectrometry depending on analyte.,10,,,ICP-MS/OES,4A,,Combination Inductively Coupled Plasma Mass Spectrometry or ICP Optical Emission Spectrometry depending on analyte.
